,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.23
7,0.461
8,0.691
9,0.922
10,1.152
11,1.383
12,1.613
13,1.843
14,2.074
15,2.304
16,2.535
17,2.765
18,2.996
19,3.226
20,3.457
21,3.687
22,3.917
23,4.148
24,4.378
25,4.609
26,4.839
27,5.07
28,5.3
29,4.2
30,4.2
31,4.506
32,4.812
33,5.118
34,5.424
35,5.729
36,6.035
37,6.341
38,6.647
39,6.953
40,7.259
41,7.565
42,7.871
43,8.176
44,8.482
45,8.788
46,9.094
47,9.4
48,9.4
49,7.325
50,5.25
51,3.175
52,1.1
53,1.1
54,1.1
55,1.1
56,1.1
57,1.1
58,3.7
59,3.7
60,3.7
61,3.7
62,2.0
63,2.0
64,3.1
65,3.1
66,3.1
67,7.2
68,6.2
69,6.2
70,6.2
71,6.2
72,6.2
73,3.0
74,3.0
75,3.242
76,3.483
77,3.725
78,3.967
79,4.208
80,4.45
81,4.692
82,4.933
83,5.175
84,5.417
85,5.658
86,5.9
87,6.142
88,6.383
89,6.625
90,6.867
91,7.108
92,7.35
93,7.592
94,7.833
95,8.075
96,8.317
97,8.558
98,8.8
99,8.8
100,8.8
101,8.8
102,8.8
103,4.9
104,1.0
105,1.0
106,1.0
107,1.0
108,1.0
109,1.0
110,1.0
111,3.7
112,3.7
113,3.7
114,3.7
115,3.7
116,2.3
117,2.3
118,2.3
119,2.3
120,3.4
121,4.5
122,5.6
123,4.2
124,4.2
125,4.775
126,5.35
127,5.925
128,6.5
129,5.3
130,5.3
131,5.492
132,5.683
133,5.875
134,6.067
135,6.258
136,6.45
137,6.642
138,6.833
139,7.025
140,7.217
141,7.408
142,7.6
143,6.0
144,6.0
145,6.0
146,6.0
147,6.0
148,7.35
149,8.7
150,8.7
151,8.7
152,8.7
153,8.7
154,2.0
155,2.0
156,2.0
157,2.0
158,2.0
159,2.0
160,4.2
161,4.2
162,2.7
163,2.7
164,3.617
165,4.533
166,5.45
167,6.367
168,7.283
169,8.2
170,8.2
171,8.2
172,8.2
173,8.2
174,8.2
175,9.7
176,9.7
177,9.0
178,9.0
179,9.0
180,9.0
181,9.0
182,9.0
183,9.0
184,8.0
185,8.0
186,8.067
187,8.133
188,8.2
